[06-Mar-2026 09:59:33] NOTICE: fpm is running, pid 19
[06-Mar-2026 09:59:33] NOTICE: ready to handle connections
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:19 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:19 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:30 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:30 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:30 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:30 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:30 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:30 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:36 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:37 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:39 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:39 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:39 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:39 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:42 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:42 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:56 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:56 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:59 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:59 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:59 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:33:59 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:08 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:08 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:11 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:11 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:11 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:12 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:13 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:13 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:13 +0000 "POST /index.php" 422
127.0.0.1 -  06/Mar/2026:12:34:14 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:14 +0000 "POST /index.php" 422
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:17 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:18 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:18 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:18 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:18 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:30 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:30 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:39 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:34:39 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:38 +0000 "OPTIONS /index.php" 200
